tweet_text,cyberbullying_type,tweet_length
This song reminds me of the girl who bullied me in high school... WELL. I’M TAKING IT BACK,age,90
"I was bullied in jr high. I was embarrassed that my mom called a meeting with the principal and the girls who bullied me. The aftermath, nei",age,274
"exactly but people hate when female characters have unhealthy coping mechanisms because of trauma so they'll just call her a ""bitch"" or say ",gender,164
"So My Nigger baby wakes up JUST to laugh at the GIANTS losing, fuck him the Eagles and his dumb ass Cowboys!!!",ethnicity,110
Only black when it's convenient smh shits disgusting “@DORA_MAAAR: I hate you black people who act like house niggers you disgust me”,ethnicity,133
@milfgaardian pravana blue - NOT pastels - mixed with a touch of purple to make the fade gorgeous + pravana clear. i swear by it.,other_cyberbullying,129
G8 job sir U are the first one who got success to eliminate the Islamic terrorism in the world Hope to see more,religion,111
Can you remember when the word paedophile was mentioned crowds would gather outside the paedophiles homes &amp; put bricks thro all windows ,religion,273
"@DeShilianGuey lo digo por muchas cosas que leo, es una pena en verdad. Nuestros hijos crecerán rodeados de bullying por pensar diferente",not_cyberbullying,137
I remember being bullied by this girl in high school and I remember hating my life and hated going to school every day. I whole heartedly be,age,206
porraa eu sofro bulling da câmera fotográfica !! soh pod.. SHUA,not_cyberbullying,63
"Really, the ones successfully lobbying multiple State legislatures are fringe, radical Christians and not the ones with widespread support?",religion,139
@princeducci fuck off my tl&amp;fuck u very much! Dumb ass nigger #YesitisThatDeep,ethnicity,82
"@FrankAlvarez eggs and other things, which will unfortunately be the only part likely not open sourced.",other_cyberbullying,103
Is it tv editing .. or is Kat a natural nasty bitch   #MKR,gender,58
Fuck this class. Fuck school period. I just wanna play ball.,not_cyberbullying,60
RT @huntigula: [listening to the Chainsmokers/Coldplay collaboration] why...why does this exist? who wanted this? who the hell asked for thâ,other_cyberbullying,142
"RT @The_Killah29: @MT8_9 I have the choice of either 1) marrying the woman and supporting her, 2) paying child support for 18 years or 3) j…",gender,140
